Ranking;Titulo;Ano;Duração;Classificação;Avaliação
157;Rashomon;1950;1h 28m;14;8.2
158;Os Suspeitos;2013;2h 33m;16;8.2
159;O Castelo Animado;2004;1h 59m;Livre;8.2
160;O Homem Elefante;1980;2h 4m;10;8.2
161;Chinatown;1974;2h 10m;12;8.1
162;Disque M para Matar;1954;1h 45m;16;8.2
163;E o Vento Levou;1939;3h 58m;Livre;8.2
164;V de Vingança;2005;2h 12m;16;8.2
165;Jogos, Trapaças e Dois Canos Fumegantes;1998;1h 47m;18;8.1
166;O Segredo dos Seus Olhos;2009;2h 9m;16;8.2
167;Divertida Mente;2015;1h 35m;Livre;8.1
168;Touro Indomável;1980;2h 9m;16;8.1
169;Três Anúncios para um Crime;2017;1h 55m;16;8.1
170;Trainspotting: Sem Limites;1996;1h 33m;18;8.1
171;A Ponte do Rio Kwai;1957;2h 41m;12;8.1
172;Homem-Aranha: Sem Volta para Casa;2021;2h 28m;12;8.2
173;Fargo: Uma Comédia de Erros;1996;1h 38m;18;8.1
174;Klaus;2019;1h 36m;10;8.2
175;Guerreiro;2011;2h 20m;12;8.1
176;Prenda-Me se for Capaz;2002;2h 21m;12;8.1
177;Godzilla Minus One;2023;2h 4m;12;8.3
178;Gran Torino;2008;1h 56m;14;8.1
179;Meu Amigo Totoro;1988;1h 26m;Livre;8.1
180;Menina de Ouro;2004;2h 12m;12;8.1
181;Harry Potter e as Relíquias da Morte - Parte 2;2011;2h 10m;12;8.1
182;Filhos do Paraíso;1997;1h 29m;Livre;8.2
183;12 Anos de Escravidão;2013;2h 14m;14;8.1
184;Blade Runner - O Caçador de Androides;1982;1h 57m;14;8.1
185;Antes do Amanhecer;1995;1h 41m;12;8.1
186;Ben-Hur;1959;3h 32m;12;8.1
187;O Grande Hotel Budapeste;2014;1h 39m;14;8.1
188;Barry Lyndon;1975;3h 5m;Livre;8.1
189;Garota Exemplar;2014;2h 29m;14;8.1
190;Até o Último Homem;2016;2h 19m;16;8.1
191;Em Busca do Ouro;1925;1h 35m;Livre;8.1
192;Memórias de um Assassino;2003;2h 11m;14;8.1
193;Em Nome do Pai;1993;2h 13m;16;8.1
194;Sociedade dos Poetas Mortos;1989;2h 8m;12;8.1
195;Sindicato de Ladrões;1954;1h 48m;14;8.1
196;A General;1926;1h 18m;Livre;8.1
197;O Franco Atirador;1978;3h 3m;18;8.1
198;Relatos Selvagens;2014;2h 2m;14;8.1
